商品名,会社名,ジャンル,甘さ,すっきり度,強さ,画像
STRONGZERO ダブルレモン,SUNTORY,チューハイ・カクテル,,柑橘,強い,STRONGZERO_ダブルレモン.jpg
STRONGZERO ダブルグレープフルーツ,SUNTORY,チューハイ・カクテル,,柑橘,強い,STRONGZERO_ダブルグレープフルーツ.jpg
STRONGZERO 葡萄ダブル,SUNTORY,チューハイ・カクテル,,フルーティー,強い,STRONGZERO_葡萄ダブル.jpg
STRONGZERO ダブルシークヮーサー,SUNTORY,チューハイ・カクテル,,柑橘,強い,STRONGZERO_ダブルシークヮーサー.jpg
STRONGZERO DRY,SUNTORY,チューハイ・カクテル,,苦い,強い,STRONGZERO_DRY.jpg
ほろよい 白いサワー,SUNTORY,チューハイ・カクテル,その他,,弱い,ほろよい_白いサワー.jpg
ほろよい ぶどうサワー,SUNTORY,チューハイ・カクテル,フルーティー,,弱い,ほろよい_ぶどうサワー.jpg
ほろよい もも,SUNTORY,チューハイ・カクテル,フルーティー,,弱い,ほろよい_もも.jpg
ほろよい しろぶどう,SUNTORY,チューハイ・カクテル,フルーティー,,弱い,ほろよい_しろぶどう.jpg
ほろよい 梅酒ソーダ,SUNTORY,チューハイ・カクテル,フルーティー,,弱い,ほろよい_梅酒ソーダ.jpg
ほろよい カシスとオレンジ,SUNTORY,チューハイ・カクテル,フルーティー,,弱い,ほろよい_カシスとオレンジ.jpg
ほろよい コーラサワー,SUNTORY,チューハイ・カクテル,その他,,弱い,ほろよい_コーラサワー.jpg
ほろよい アイスティーサワー,SUNTORY,チューハイ・カクテル,その他,,弱い,ほろよい_アイスティーサワー.jpg
カロリ。 地中海レモン,SUNTORY,チューハイ・カクテル,,柑橘,弱い,カロリ。_地中海レモン.jpg
カロリ。 巨峰,SUNTORY,チューハイ・カクテル,,フルーティー,弱い,カロリ。_巨峰.jpg
カロリ。 アセロラ,SUNTORY,チューハイ・カクテル,,フルーティー,弱い,カロリ。_アセロラ.jpg
カロリ。 グレープフルーツ,SUNTORY,チューハイ・カクテル,,柑橘,弱い,カロリ。_グレープフルーツ.jpg
カロリ。 白桃,SUNTORY,チューハイ・カクテル,,フルーティー,弱い,カロリ。_白桃.jpg
ザ・プレミアム・モルツ,SUNTORY,ビール・発泡酒・新ジャンル,,苦い,普通,ザ・プレミアム・モルツ.jpg
金麦,SUNTORY,ビール・発泡酒・新ジャンル,,苦い,普通,金麦.jpg
サントリー角ハイボール缶,SUNTORY,ウィスキー・ハイボール,,苦い,普通,サントリー角ハイボール缶.jpg
サントリー角ハイボール缶<濃いめ>,SUNTORY,ウィスキー・ハイボール,,苦い,強い,サントリー角ハイボール缶_濃いめ.jpg
サントリー角ハイボール缶<贅沢レモン>,SUNTORY,ウィスキー・ハイボール,,柑橘,普通,サントリー角ハイボール缶_贅沢レモン.jpg
トリスハイボール缶,SUNTORY,ウィスキー・ハイボール,,苦い,普通,トリスハイボール缶.jpg
トリスハイボール缶<キリッと濃いめ>,SUNTORY,ウィスキー・ハイボール,,苦い,強い,トリスハイボール缶_キリッと濃いめ.jpg
トリスハイボール缶<コーラハイ>,SUNTORY,ウィスキー・ハイボール,,その他,普通,トリスハイボール缶_コーラハイ.jpg
ジムビームハイボール缶,SUNTORY,ウィスキー・ハイボール,,柑橘,普通,ジムビームハイボール缶.jpg
ジムビームハイボール缶<オレンジ>,SUNTORY,ウィスキー・ハイボール,,柑橘,普通,ジムビームハイボール缶_オレンジ.jpg
のんある気分 カシスオレンジテイスト,SUNTORY,ノンアルコール,フルーティー,,0,のんある気分_カシスオレンジテイスト.jpg
のんある気分 地中海レモン,SUNTORY,ノンアルコール,柑橘,,0,のんある気分_地中海レモン.jpg
のんある気分 巨峰サワーテイスト,SUNTORY,ノンアルコール,フルーティー,,0,のんある気分_巨峰サワーテイスト.jpg
のんある気分 地中海グレープフルーツ,SUNTORY,ノンアルコール,柑橘,,0,のんある気分_地中海グレープフルーツ.jpg
のんある気分 ホワイトサワーテイスト,SUNTORY,ノンアルコール,その他,,0,のんある気分_ホワイトサワーテイスト.jpg
